REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1586,2005,SW Pacific,Indo-Pacific,5.9,25.3,-0.41484,159.78,-18.82
1587,2005,SW Pacific,Indo-Pacific,6.6,20.9,-0.21712,159.795,-18.835
1588,2005,SW Pacific,Indo-Pacific,5.3,21.3,-0.2867,159.7995,-18.83833
1589,2005,SW Pacific,Indo-Pacific,9.1,18.8,-0.01763,159.80617,-18.85261
1590,2005,SW Pacific,Indo-Pacific,9.4,16.9,0.06915,159.825,-18.88667
1591,2005,SW Pacific,Indo-Pacific,11.3,15.9,0.19162,159.8025,-18.84333
1592,2003,W Indonesia,Indo-Pacific,10.6,19.1,0.04218,115.65075,-8.33533
1593,2003,E Indonesia_PNG,Indo-Pacific,1.9,56.3,-1.79651,121.59056,-0.83111
1594,2003,E Indonesia_PNG,Indo-Pacific,2.2,34.4,-0.93734,121.59269,-0.839
1595,2003,E Indonesia_PNG,Indo-Pacific,8.8,33.8,-0.6113,121.61333,-0.8175
1596,2003,E Indonesia_PNG,Indo-Pacific,1.3,48.8,-1.53562,121.62117,-0.81103
1597,2004,E Indonesia_PNG,Indo-Pacific,12.5,31.9,-0.36637,125.64231,-8.13675
1598,2004,E Indonesia_PNG,Indo-Pacific,29.4,19.4,0.89269,125.64447,-8.17031
1599,2002,GBR,GBR,16.3,21.3,0.21647,145.981,-16.46414
1602,2005,E. Indian Ocean,Indo-Pacific,0.6,20.6,-0.47821,95.38689,5.68533
1603,2005,Philippines_Spra,Indo-Pacific,5.6,27.5,-0.51369,123.77522,11.213
1604,2005,Philippines_Spra,Indo-Pacific,12.5,32.5,-0.39051,123.77514,11.21264
1605,2004,E Indonesia_PNG,Indo-Pacific,14.4,43.8,-0.73872,125.63814,-8.18631
1606,2000,E Indonesia_PNG,Indo-Pacific,21.9,43.8,-0.39369,123.98189,-5.88872
1610,2000,SW Pacific,Indo-Pacific,6.3,43.1,-1.08837,179.28028,-16.83361
1611,2004,E Indonesia_PNG,Indo-Pacific,30.9,32.5,0.45769,125.63019,-8.20044
1613,1997,South China Sea,Indo-Pacific,23.1,45,-0.38446,104.53056,1.19861
1614,1997,South China Sea,Indo-Pacific,4.7,27.5,-0.55682,104.53472,1.2125
1615,2005,Philippines_Spra,Indo-Pacific,1.9,17.7,-0.30806,124.10236,10.98992
1616,2005,Philippines_Spra,Indo-Pacific,5,28.8,-0.59072,123.67917,9.51536
1617,2001,Philippines_Spra,Indo-Pacific,1.3,16.9,-0.30463,123.8295,9.7375
1621,2006,SE Pacific,Indo-Pacific,17.5,23.8,0.17743,-151.72039,-16.47956
1622,2006,SE Pacific,Indo-Pacific,0.6,41.3,-1.27473,-151.72703,-16.54239
1623,2006,SE Pacific,Indo-Pacific,3.8,56.3,-1.71026,-151.72844,-16.53528
1624,2004,SE Pacific,Indo-Pacific,1.3,66.3,-2.21146,-151.72986,-16.53478
1627,2003,SE Pacific,Indo-Pacific,4.4,48.8,-1.39186,-151.74078,-16.54269
